action_type,author.badges.0.icons.0.id,author.badges.0.icons.0.url,author.badges.0.icons.1.height,author.badges.0.icons.1.id,author.badges.0.icons.1.url,author.badges.0.icons.1.width,author.badges.0.icons.2.height,author.badges.0.icons.2.id,author.badges.0.icons.2.url,author.badges.0.icons.2.width,author.badges.0.title,author.id,author.images.0.id,author.images.0.url,author.images.1.height,author.images.1.id,author.images.1.url,author.images.1.width,author.images.2.height,author.images.2.id,author.images.2.url,author.images.2.width,author.name,emotes.0.id,emotes.0.images.0.id,emotes.0.images.0.url,emotes.0.images.1.height,emotes.0.images.1.id,emotes.0.images.1.url,emotes.0.images.1.width,emotes.0.images.2.height,emotes.0.images.2.id,emotes.0.images.2.url,emotes.0.images.2.width,emotes.0.is_custom_emoji,emotes.0.name,emotes.0.search_terms.0,emotes.0.search_terms.1,emotes.0.search_terms.2,emotes.0.search_terms.3,emotes.0.search_terms.4,emotes.0.shortcuts.0,emotes.0.shortcuts.1,emotes.0.shortcuts.2,emotes.0.shortcuts.3,emotes.1.id,emotes.1.images.0.id,emotes.1.images.0.url,emotes.1.images.1.height,emotes.1.images.1.id,emotes.1.images.1.url,emotes.1.images.1.width,emotes.1.images.2.height,emotes.1.images.2.id,emotes.1.images.2.url,emotes.1.images.2.width,emotes.1.is_custom_emoji,emotes.1.name,emotes.1.search_terms.0,emotes.1.search_terms.1,emotes.1.search_terms.2,emotes.1.search_terms.3,emotes.1.search_terms.4,emotes.1.shortcuts.0,emotes.1.shortcuts.1,emotes.1.shortcuts.2,emotes.1.shortcuts.3,emotes.2.id,emotes.2.images.0.id,emotes.2.images.0.url,emotes.2.images.1.height,emotes.2.images.1.id,emotes.2.images.1.url,emotes.2.images.1.width,emotes.2.images.2.height,emotes.2.images.2.id,emotes.2.images.2.url,emotes.2.images.2.width,emotes.2.is_custom_emoji,emotes.2.name,emotes.2.search_terms.0,emotes.2.search_terms.1,emotes.2.search_terms.2,emotes.2.search_terms.3,emotes.2.shortcuts.0,emotes.2.shortcuts.1,emotes.2.shortcuts.2,emotes.2.shortcuts.3,message,message_id,message_type,timestamp
add_chat_item,,,,,,,,,,,,UCR1Jvukh7AW6f4SmizNVFWA,source,https://yt4.ggpht.com/mNwzH7IkZKs5eLm4nJ7ugPHrSH3ZMeGVyDjZxlrrvr-hP9IjHFhyAJ2s908b493788vPHf-mkh0,32,32x32,https://yt4.ggpht.com/mNwzH7IkZKs5eLm4nJ7ugPHrSH3ZMeGVyDjZxlrrvr-hP9IjHFhyAJ2s908b493788vPHf-mkh0=s32-c-k-c0x00ffffff-no-rj,32,64,64x64,https://yt4.ggpht.com/mNwzH7IkZKs5eLm4nJ7ugPHrSH3ZMeGVyDjZxlrrvr-hP9IjHFhyAJ2s908b493788vPHf-mkh0=s64-c-k-c0x00ffffff-no-rj,64,Rahil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@bhumika I’m also turning 17 this year,ChwKGkNQemxzWlRDMVlNREZUdlN3Z1FkVUk4SExB,text_message,1704982337117524
add_chat_item,,,,,,,,,,,,UCt-4jxekG2n7jCUiY3jSZTQ,source,https://yt4.ggpht.com/LBCCuZnxN14LXGBhzTtjs8tS2oxiKEdRU33BCdsMzYlck6YFzud-sDL6Ajb8ew-F_18-X_q6Mw,32,32x32,https://yt4.ggpht.com/LBCCuZnxN14LXGBhzTtjs8tS2oxiKEdRU33BCdsMzYlck6YFzud-sDL6Ajb8ew-F_18-X_q6Mw=s32-c-k-c0x00ffffff-no-rj,32,64,64x64,https://yt4.ggpht.com/LBCCuZnxN14LXGBhzTtjs8tS2oxiKEdRU33BCdsMzYlck6YFzud-sDL6Ajb8ew-F_18-X_q6Mw=s64-c-k-c0x00ffffff-no-rj,64,dzhek drayzer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"я думаю и на практике, и знакомства помогут",ChwKGkNPbUctWlRDMVlNREZjNG4xZ0FkMmJrT05B,text_message,1704982338239843
add_chat_item,,,,,,,,,,,,UCAIJfJElQU3hvjsuVmxhoVg,source,https://yt4.ggpht.com/lGyukMPlhCDDVcbJLlwM8tJLL_Na1H2-RHquaIQ74ZJTD53b7V7HNZd6BXnh7Tw-z0b5VZJjHw,32,32x32,https://yt4.ggpht.com/lGyukMPlhCDDVcbJLlwM8tJLL_Na1H2-RHquaIQ74ZJTD53b7V7HNZd6BXnh7Tw-z0b5VZJjHw=s32-c-k-c0x00ffffff-no-rj,32,64,64x64,https://yt4.ggpht.com/lGyukMPlhCDDVcbJLlwM8tJLL_Na1H2-RHquaIQ74ZJTD53b7V7HNZd6BXnh7Tw-z0b5VZJjHw=s64-c-k-c0x00ffffff-no-rj,64,ben,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Khyati Tiwari swadistam ati uttam ati ati,ChwKGkNJcWVpSlhDMVlNREZaVVdyUVlkN0p3T0RR,text_message,1704982338520883
add_chat_item,,,,,,,,,,,,UCI8S7VtOVsxuKBuPDypFpgw,source,https://yt4.ggpht.com/fI_4_43_9tidnV3SM_J6_s6oEoBoIfd5ZtCahcWMcJpMj7GH_YCJAr8d3zz2iQy9LUqLf8fig8o,32,32x32,https://yt4.ggpht.com/fI_4_43_9tidnV3SM_J6_s6oEoBoIfd5ZtCahcWMcJpMj7GH_YCJAr8d3zz2iQy9LUqLf8fig8o=s32-c-k-c0x00ffffff-no-rj,32,64,64x64,https://yt4.ggpht.com/fI_4_43_9tidnV3SM_J6_s6oEoBoIfd5ZtCahcWMcJpMj7GH_YCJAr8d3zz2iQy9LUqLf8fig8o=s64-c-k-c0x00ffffff-no-rj,64,MyRa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Asalamulykum,ChwKGkNJQy1xSlhDMVlNREZYWEJ3Z1FkQ2s0TEp3,text_message,1704982339071734
add_chat_item,,,,,,,,,,,,UCVf7ent0EPLq04aYA9mMD-A,source,https://yt4.ggpht.com/ytc/AIf8zZSVZGCLWRaN8mCd4AYCcijWCSmqXFyUWlyjli_pj0IbmNk8EsPqAJci82ODcxch,32,32x32,https://yt4.ggpht.com/ytc/AIf8zZSVZGCLWRaN8mCd4AYCcijWCSmqXFyUWlyjli_pj0IbmNk8EsPqAJci82ODcxch=s32-c-k-c0x00ffffff-no-rj,32,64,64x64,https://yt4.ggpht.com/ytc/AIf8zZSVZGCLWRaN8mCd4AYCcijWCSmqXFyUWlyjli_pj0IbmNk8EsPqAJci82ODcxch=s64-c-k-c0x00ffffff-no-rj,64,Rose Khan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mr..prk yaa I have,ChwKGkNMZmRySlhDMVlNREZTM0R3Z1FkOWtvSldB,text_message,1704982339148803
add_chat_item,,,,,,,,,,,,UCvkT-KUWZYInpZXVKK8QxUg,source,https://yt4.ggpht.com/824ys14utEUwY4k7t1eWIfeuOKf-MZAKCxjsFmEN3RlAnlyGR-hkXKrP3hpOYQGHEGvBsjfWxA,32,32x32,https://yt4.ggpht.com/824ys14utEUwY4k7t1eWIfeuOKf-MZAKCxjsFmEN3RlAnlyGR-hkXKrP3hpOYQGHEGvBsjfWxA=s32-c-k-c0x00ffffff-no-rj,32,64,64x64,https://yt4.ggpht.com/824ys14utEUwY4k7t1eWIfeuOKf-MZAKCxjsFmEN3RlAnlyGR-hkXKrP3hpOYQGHEGvBsjfWxA=s64-c-k-c0x00ffffff-no-rj,64,Даниял,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Mojact, и буду узнавать, всё-таки не сегодня ехать)",ChwKGkNQLXIzNWJDMVlNREZja0sxZ0FkQk1vQjFB,text_message,1704982342014375
add_chat_item,,,,,,,,,,,,UCR1Jvukh7AW6f4SmizNVFWA,source,https://yt4.ggpht.com/mNwzH7IkZKs5eLm4nJ7ugPHrSH3ZMeGVyDjZxlrrvr-hP9IjHFhyAJ2s908b493788vPHf-mkh0,32,32x32,https://yt4.ggpht.com/mNwzH7IkZKs5eLm4nJ7ugPHrSH3ZMeGVyDjZxlrrvr-hP9IjHFhyAJ2s908b493788vPHf-mkh0=s32-c-k-c0x00ffffff-no-rj,32,64,64x64,https://yt4.ggpht.com/mNwzH7IkZKs5eLm4nJ7ugPHrSH3ZMeGVyDjZxlrrvr-hP9IjHFhyAJ2s908b493788vPHf-mkh0=s64-c-k-c0x00ffffff-no-rj,64,Rahil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chat Ronaldo or messi?,ChwKGkNKaWQtcGZDMVlNREZiTWVyUVlkMlprUDNB,text_message,1704982344578565
add_chat_item,,,,,,,,,,,,UCDGqVMvwb3h9-a2pBsHhS3Q,source,https://yt4.ggpht.com/ytc/AIf8zZRoOEh4EulAwl2n9MmImgEORt1OMh3voteK2o8OcoSayUFX28cUA9eXRLiNbniK,32,32x32,https://yt4.ggpht.com/ytc/AIf8zZRoOEh4EulAwl2n9MmImgEORt1OMh3voteK2o8OcoSayUFX28cUA9eXRLiNbniK=s32-c-k-c0x00ffffff-no-rj,32,64,64x64,https://yt4.ggpht.com/ytc/AIf8zZRoOEh4EulAwl2n9MmImgEORt1OMh3voteK2o8OcoSayUFX28cUA9eXRLiNbniK=s64-c-k-c0x00ffffff-no-rj,64,Bobby Ba,🤣,source,https://www.youtube.com/s/gaming/emoji/0f0cae22/emoji_u1f923.svg,,,https://www.youtube.com/s/gaming/emoji/0f0cae22/emoji_u1f923.svg,,,,,,False,:rolling_on_the_floor_laughing:,rolling,on,the,floor,laughing,:rolling_on_the_floor_laughing:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,:rolling_on_the_floor_laughing:help me,ChwKGkNOM1AtSmpDMVlNREZRMEkxZ0FkU1JNSHNn,text_message,1704982346621448
add_chat_item,,,,,,,,,,,,UC-MplG_I0tJrMEZOK83orvQ,source,https://yt4.ggpht.com/ytc/AIf8zZRiT5PVVJJbyeebkqx_DCqmV7fmmVor412nBYegLA,32,32x32,https://yt4.ggpht.com/ytc/AIf8zZRiT5PVVJJbyeebkqx_DCqmV7fmmVor412nBYegLA=s32-c-k-c0x00ffffff-no-rj,32,64,64x64,https://yt4.ggpht.com/ytc/AIf8zZRiT5PVVJJbyeebkqx_DCqmV7fmmVor412nBYegLA=s64-c-k-c0x00ffffff-no-rj,64,monke,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@Kazama ah noice,ChwKGkNMU1kwcHZDMVlNREZkX0J3Z1FkRGprT2ln,text_message,1704982352327543
add_chat_item,,,,,,,,,,,,UC2tZgLOfBt2dvc-MEIkHltQ,source,https://yt4.ggpht.com/y0TpdmjZIFy0PhU1l1l-Myj0NqcF2yhotahTgFwAM-hron4Cj4kt-lAiuwGWagBYKPWkSN9EPA,32,32x32,https://yt4.ggpht.com/y0TpdmjZIFy0PhU1l1l-Myj0NqcF2yhotahTgFwAM-hron4Cj4kt-lAiuwGWagBYKPWkSN9EPA=s32-c-k-c0x00ffffff-no-rj,32,64,64x64,https://yt4.ggpht.com/y0TpdmjZIFy0PhU1l1l-Myj0NqcF2yhotahTgFwAM-hron4Cj4kt-lAiuwGWagBYKPWkSN9EPA=s64-c-k-c0x00ffffff-no-rj,64,Mir ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,وعلیکم السلام,ChwKGkNLTF81cHZDMVlNREZYQUoxZ0Fkck9VSWtn,text_message,1704982352625372
add_chat_item,,,,,,,,,,,,UCpQvOG-S4aj6auE7xMBgaGQ,source,https://yt4.ggpht.com/pJzIcFm1I0kEYV7xgvq5AcBR6TL1gX-F4AHToS488uCNNnOJrkDZi8UT86Deivb4v6A7TfiO,32,32x32,https://yt4.ggpht.com/pJzIcFm1I0kEYV7xgvq5AcBR6TL1gX-F4AHToS488uCNNnOJrkDZi8UT86Deivb4v6A7TfiO=s32-c-k-c0x00ffffff-no-rj,32,64,64x64,https://yt4.ggpht.com/pJzIcFm1I0kEYV7xgvq5AcBR6TL1gX-F4AHToS488uCNNnOJrkDZi8UT86Deivb4v6A7TfiO=s64-c-k-c0x00ffffff-no-rj,64,Fahim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@Prime it’s good for the health too,ChwKGkNKelZucHpDMVlNREZVVEJ3Z1FkLWRvTnBR,text_message,1704982353587935
add_chat_item,,,,,,,,,,,,UCwv5rG15HpWQMnHXi0BSZ6Q,source,https://yt4.ggpht.com/ytc/AIf8zZTBJ0ROusYARh5COYDq0xIxA-sZujHgsHOPmr57xQ,32,32x32,https://yt4.ggpht.com/ytc/AIf8zZTBJ0ROusYARh5COYDq0xIxA-sZujHgsHOPmr57xQ=s32-c-k-c0x00ffffff-no-rj,32,64,64x64,https://yt4.ggpht.com/ytc/AIf8zZTBJ0ROusYARh5COYDq0xIxA-sZujHgsHOPmr57xQ=s64-c-k-c0x00ffffff-no-rj,64,Mojact,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"@dzhek drayzer ( если не заметила вдруг, мне 19) Я за все выходные только несколько раз вышел из хаты",ChwKGkNJTGlucHpDMVlNREZmQUkxZ0FkMzcwSk9n,text_message,1704982353541758
add_chat_item,,,,,,,,,,,,UCQg1kj9YE85TkHjw8Scdr8Q,source,https://yt4.ggpht.com/CKz5yEan9RnZCUzPpOJgQJGv6cEa96LAgqTH87QTtJPYLhKYCauB0ICVbTQUwV7wjCnUUmDzPQ,32,32x32,https://yt4.ggpht.com/CKz5yEan9RnZCUzPpOJgQJGv6cEa96LAgqTH87QTtJPYLhKYCauB0ICVbTQUwV7wjCnUUmDzPQ=s32-c-k-c0x00ffffff-no-rj,32,64,64x64,https://yt4.ggpht.com/CKz5yEan9RnZCUzPpOJgQJGv6cEa96LAgqTH87QTtJPYLhKYCauB0ICVbTQUwV7wjCnUUmDzPQ=s64-c-k-c0x00ffffff-no-rj,64,YourMrinali,UCkszU2WH9gy1mb0dV-11UJg/oPgfY_DoKfSXkNAPq8-AgAo,source,https://yt3.ggpht.com/H2HNPRO8f4SjMmPNh5fl10okSETW7dLTZtuE4jh9D6pSmaUiLfoZJ2oiY-qWU3Owfm1IsXg,24,24x24,https://yt3.ggpht.com/H2HNPRO8f4SjMmPNh5fl10okSETW7dLTZtuE4jh9D6pSmaUiLfoZJ2oiY-qWU3Owfm1IsXg=w24-h24-c-k-nd,24,48,48x48,https://yt3.ggpht.com/H2HNPRO8f4SjMmPNh5fl10okSETW7dLTZtuE4jh9D6pSmaUiLfoZJ2oiY-qWU3Owfm1IsXg=w48-h48-c-k-nd,48,True,:face-turquoise-covering-eyes:,face-turquoise-covering-eyes,,,,,:face-turquoise-covering-eyes:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,anyone from assam here??:face-turquoise-covering-eyes:,ChwKGkNLU3FsSjNDMVlNREZUdlN3Z1FkVUk4SExB,text_message,1704982355511649
add_chat_item,,,,,,,,,,,,UCKVALBsE2tJK4uLdukVwX_g,source,https://yt4.ggpht.com/0qUM7Zi3go8LYjfA4Z9ww3ISCaPa6bM_8u4qyRqMSetBmKq-2jYyER7aH1XGGdKIkXFc_RFUog,32,32x32,https://yt4.ggpht.com/0qUM7Zi3go8LYjfA4Z9ww3ISCaPa6bM_8u4qyRqMSetBmKq-2jYyER7aH1XGGdKIkXFc_RFUog=s32-c-k-c0x00ffffff-no-rj,32,64,64x64,https://yt4.ggpht.com/0qUM7Zi3go8LYjfA4Z9ww3ISCaPa6bM_8u4qyRqMSetBmKq-2jYyER7aH1XGGdKIkXFc_RFUog=s64-c-k-c0x00ffffff-no-rj,64,Dimpal Mali official ,😴,source,https://www.youtube.com/s/gaming/emoji/0f0cae22/emoji_u1f634.svg,,,https://www.youtube.com/s/gaming/emoji/0f0cae22/emoji_u1f634.svg,,,,,,False,:sleeping_face:,sleeping,face,,,,:sleeping_face:,:sleeping:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@karan itka boaring subject :sleeping_face:,ChwKGkNQWHUwSjNDMVlNREZmUEN3Z1FkemlVTVdR,text_message,1704982356503932
add_chat_item,,,,,,,,,,,,UCjyNMRSrIWwZF0NDU-CI7ZA,source,https://yt4.ggpht.com/ytc/AIf8zZRD_B8CuAO4OP0vEhuFCPvJ9f5EDIeh8sX8MbutAZU,32,32x32,https://yt4.ggpht.com/ytc/AIf8zZRD_B8CuAO4OP0vEhuFCPvJ9f5EDIeh8sX8MbutAZU=s32-c-k-c0x00ffffff-no-rj,32,64,64x64,https://yt4.ggpht.com/ytc/AIf8zZRD_B8CuAO4OP0vEhuFCPvJ9f5EDIeh8sX8MbutAZU=s64-c-k-c0x00ffffff-no-rj,64,Thiago Oliveira,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, do you like lula or bolsonaro in brazil?,ChwKGkNJcnczNTNDMVlNREZmdkR3Z1FkWmd3RHhR,text_message,1704982356763479
add_chat_item,,,,,,,,,,,,UCBW1GVCzerQsv30d4ehaZww,source,https://yt4.ggpht.com/I-Ud6pMBWPRsFIcypv0eVHqz6Eb953gefJdd07zR50oBJpvfEalnE-S67B06sBQCho4FtII_Sg,32,32x32,https://yt4.ggpht.com/I-Ud6pMBWPRsFIcypv0eVHqz6Eb953gefJdd07zR50oBJpvfEalnE-S67B06sBQCho4FtII_Sg=s32-c-k-c0x00ffffff-no-rj,32,64,64x64,https://yt4.ggpht.com/I-Ud6pMBWPRsFIcypv0eVHqz6Eb953gefJdd07zR50oBJpvfEalnE-S67B06sBQCho4FtII_Sg=s64-c-k-c0x00ffffff-no-rj,64,Garìma,UCkszU2WH9gy1mb0dV-11UJg/Ym5IY7-0LoqA29sPq9CAkAY,source,https://yt3.ggpht.com/MJV1k3J5s0hcUfuo78Y6MKi-apDY5NVDjO9Q7hL8fU4i0cIBgU-cU4rq4sHessJuvuGpDOjJ,24,24x24,https://yt3.ggpht.com/MJV1k3J5s0hcUfuo78Y6MKi-apDY5NVDjO9Q7hL8fU4i0cIBgU-cU4rq4sHessJuvuGpDOjJ=w24-h24-c-k-nd,24,48,48x48,https://yt3.ggpht.com/MJV1k3J5s0hcUfuo78Y6MKi-apDY5NVDjO9Q7hL8fU4i0cIBgU-cU4rq4sHessJuvuGpDOjJ=w48-h48-c-k-nd,48,True,:face-purple-smiling-tears:,face-purple-smiling-tears,,,,,:face-purple-smiling-tears:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Me yha q hu abhi tak:face-purple-smiling-tears:,ChwKGkNNcTlyWjdDMVlNREZSdkR3Z1FkdTBrUGxB,text_message,1704982358022900
add_chat_item,,,,,,,,,,,,UC7OFPMvAcerTglcRjjL5ObA,source,https://yt4.ggpht.com/VDO70Tz5MbZwP0EA5sI-xeeXMGP6plkhPAP--BS3F-XO2WjlmKUyhayCuMg3IargmdawEupynL0,32,32x32,https://yt4.ggpht.com/VDO70Tz5MbZwP0EA5sI-xeeXMGP6plkhPAP--BS3F-XO2WjlmKUyhayCuMg3IargmdawEupynL0=s32-c-k-c0x00ffffff-no-rj,32,64,64x64,https://yt4.ggpht.com/VDO70Tz5MbZwP0EA5sI-xeeXMGP6plkhPAP--BS3F-XO2WjlmKUyhayCuMg3IargmdawEupynL0=s64-c-k-c0x00ffffff-no-rj,64,Rum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mir my English is bad ha ham,ChwKGkNLU2w0SjdDMVlNREZlOEsxZ0FkQVlrSXpB,text_message,1704982358808741
add_chat_item,,,,,,,,,,,,UCWKHaKBaAeAcpew-tyzFC6A,source,https://yt4.ggpht.com/-AihpPx0MWA2ZAc06P5hM7-SJdXeUGa9Xsxx0q5JPHI1hELRm_aPxljws-2KKiOc4bWUU5UB2_0,32,32x32,https://yt4.ggpht.com/-AihpPx0MWA2ZAc06P5hM7-SJdXeUGa9Xsxx0q5JPHI1hELRm_aPxljws-2KKiOc4bWUU5UB2_0=s32-c-k-c0x00ffffff-no-rj,32,64,64x64,https://yt4.ggpht.com/-AihpPx0MWA2ZAc06P5hM7-SJdXeUGa9Xsxx0q5JPHI1hELRm_aPxljws-2KKiOc4bWUU5UB2_0=s64-c-k-c0x00ffffff-no-rj,64,Mr Prkp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@MyRa can you have instagram ?,ChwKGkNNZmx6cDdDMVlNREZaWEN3Z1FkclpvR3dR,text_message,1704982358573695
add_chat_item,,,,,,,,,,,,UC2tZgLOfBt2dvc-MEIkHltQ,source,https://yt4.ggpht.com/y0TpdmjZIFy0PhU1l1l-Myj0NqcF2yhotahTgFwAM-hron4Cj4kt-lAiuwGWagBYKPWkSN9EPA,32,32x32,https://yt4.ggpht.com/y0TpdmjZIFy0PhU1l1l-Myj0NqcF2yhotahTgFwAM-hron4Cj4kt-lAiuwGWagBYKPWkSN9EPA=s32-c-k-c0x00ffffff-no-rj,32,64,64x64,https://yt4.ggpht.com/y0TpdmjZIFy0PhU1l1l-Myj0NqcF2yhotahTgFwAM-hron4Cj4kt-lAiuwGWagBYKPWkSN9EPA=s64-c-k-c0x00ffffff-no-rj,64,Mir ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rum,ChwKGkNKTDAzcDdDMVlNREZUY0sxZ0FkeFJ3Rk1B,text_message,1704982358782947
add_chat_item,,,,,,,,,,,,UCR4pDHLH90QBEwENhgAaDhg,source,https://yt4.ggpht.com/4HqMJ_28BKJFd9MzBhl0IghJc_Es8InknmWBd_qMQ1S224awOtw42gFb8jGof8PAnqcq9hnd,32,32x32,https://yt4.ggpht.com/4HqMJ_28BKJFd9MzBhl0IghJc_Es8InknmWBd_qMQ1S224awOtw42gFb8jGof8PAnqcq9hnd=s32-c-k-c0x00ffffff-no-rj,32,64,64x64,https://yt4.ggpht.com/4HqMJ_28BKJFd9MzBhl0IghJc_Es8InknmWBd_qMQ1S224awOtw42gFb8jGof8PAnqcq9hnd=s64-c-k-c0x00ffffff-no-rj,64,Khyati Tiwari,😂,source,https://www.youtube.com/s/gaming/emoji/0f0cae22/emoji_u1f602.svg,,,https://www.youtube.com/s/gaming/emoji/0f0cae22/emoji_u1f602.svg,,,,,,False,:face_with_tears_of_joy:,face,with,tears,of,joy,:face_with_tears_of_joy:,:joy:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@ben tum gajar kha rhe ho kya ? :face_with_tears_of_joy:,ChwKGkNOZWMycDdDMVlNREZkSFR3Z1Fka05rTzlR,text_message,1704982358746073
add_chat_item,,,,,,,,,,,,UCwQsAB_46jWUK2v0C3uwvsQ,source,https://yt4.ggpht.com/ytc/AIf8zZTYQfut6FGf81dF5T7MCaC2DBCvKba3uGeTNEc-bTENjzrXl9WsgpMkizwqgLS4,32,32x32,https://yt4.ggpht.com/ytc/AIf8zZTYQfut6FGf81dF5T7MCaC2DBCvKba3uGeTNEc-bTENjzrXl9WsgpMkizwqgLS4=s32-c-k-c0x00ffffff-no-rj,32,64,64x64,https://yt4.ggpht.com/ytc/AIf8zZTYQfut6FGf81dF5T7MCaC2DBCvKba3uGeTNEc-bTENjzrXl9WsgpMkizwqgLS4=s64-c-k-c0x00ffffff-no-rj,64,Bhumika,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@Rahil O okey Preety cool u are in 10th,ChwKGkNNYUJuSl9DMVlNREZWekR3Z1FkLXNjSmtR,text_message,1704982359838360
